smiles,pred_pActivity,pred_uncertainty,pred_conservative,pred_offmax,selectivity,makeability,combined_score
[O-][N+]1(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CCOCC1,8.799027684583313,0.038805675610969745,8.779624846777828,6.994682034761331,1.8043456498219825,0.888888888888889,0.8316038829531158
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,8.985820261688811,0.0049938596384890505,8.983323331869567,7.534362825795297,1.4514574358935146,0.888888888888889,0.8229134964503042
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,8.806821925838117,0.029278654379297865,8.792182598648468,7.1659124208748155,1.6409095049633011,0.888888888888889,0.8223526150394571
Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,8.535761433498465,0.07851060402621879,8.496506131485356,6.788041214006478,1.7477202194919865,0.888888888888889,0.8096254064439256
Cc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,8.844907338951172,0.02124156164360741,8.834286558129369,7.771944494817104,1.072962844134068,0.888888888888889,0.7896381416939804
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,8.378435934590716,0.01989644855963575,8.368487710310898,6.983560447139041,1.3948754874516744,0.888888888888889,0.7806704747830009
CCOc1cc2ncnc(/C=C/c3ccccc3)c2cc1OCC,7.83062803330846,0.04083407798434608,7.810210994316287,5.976772580917478,1.8538554523909818,0.9166666666666667,0.7782385139569977
CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,8.120238686874846,0.026466246373474528,8.107005563688109,6.612128836804837,1.5081098500700083,0.9166666666666667,0.7754484712403797
COc1cc2ncnc(Sc3cccc(Cl)c3)c2cc1OC,7.738876345823693,0.04474847822133773,7.7165021067130235,5.919135472957936,1.819740872865757,0.9166666666666667,0.7701761522570236
c1ccc(NCCN(c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)n2cccc2)cc1,8.566354186850685,0.01866341286860014,8.557022480416384,7.257104260599169,1.3092499262515158,0.7733333333333333,0.7697920864254575
Oc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,8.529014715816533,0.026772988540411418,8.515628221546327,7.479342770025551,1.0496719457909824,0.888888888888889,0.7681626002567825
COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,7.997561037379974,0.026938504381387247,7.98409178518928,6.540592860002954,1.4569681773770196,0.9166666666666667,0.7645611507032428
CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2n1,7.842548126520262,0.015750500566009448,7.834672876237257,6.384936231528362,1.4576118949918992,0.9166666666666667,0.7554724763162096
Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,8.242446351555953,0.026695392497078918,8.229098655307414,7.221439333058529,1.021007018497424,0.888888888888889,0.7484643993368154
O=C(C#CCCN1CCCCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,8.831851325067442,0.06511874554413714,8.799291952295373,8.692089115550102,0.13976220951733964,0.888888888888889,0.7283032419676753
O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,8.899652946238819,0.01092258398189879,8.89419165424787,8.928442364784,-0.028789418545182244,0.888888888888889,0.7247161746150906
